Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,114,306.2,634.03,1919.49,180.01,976.57,551.68,102.68,187.27,1192.94,200.56,236.28,32.92,75.55,37.99,130.46,94.46,41.5,29.9,BlackASA,BlackASA
e,Dec,115,240.0,289.0,2050.0,205.0,1251.0,777.0,179.0,339.0,989.0,420.0,229.0,71.0,93.0,46.0,144.0,84.0,65.0,32.0,BlackASA,BlackASA
e,Dec,116,309.49,635.0,1920.43,186.15,977.35,569.43,104.98,192.79,1246.02,200.56,229.06,33.85,80.42,40.46,139.52,107.96,41.5,30.84,BlackASA,BlackASA
e,Dec,117,249.0,299.0,2051.0,212.0,1252.0,802.0,183.0,349.0,1033.0,420.0,222.0,73.0,99.0,49.0,154.0,96.0,65.0,33.0,BlackASA,BlackASA
e,Dec,118,317.7,636.94,1921.37,187.91,978.13,574.4,106.7,195.0,1258.08,200.56,231.12,34.32,80.42,39.64,138.61,107.96,41.5,30.84,BlackASA,BlackASA
e,Dec,119,256.0,302.0,2052.0,214.0,1253.0,809.0,186.0,353.0,1043.0,420.0,224.0,74.0,99.0,48.0,153.0,96.0,65.0,33.0,BlackASA,BlackASA
e,Dec,120,351.35,638.88,1921.37,180.88,978.91,554.52,103.26,188.93,1249.63,200.08,241.44,33.39,79.61,38.81,133.18,102.34,41.5,30.84,BlackASA,BlackASA
e,Dec,121,297.0,295.0,2052.0,206.0,1254.0,781.0,180.0,342.0,1036.0,419.0,234.0,72.0,98.0,47.0,147.0,91.0,65.0,33.0,BlackASA,BlackASA
e,Dec,122,360.38,639.85,1922.3,180.88,978.91,555.23,103.26,188.93,1144.69,200.56,243.51,33.39,74.73,38.81,139.52,101.21,41.5,29.9,BlackASA,BlackASA
e,Dec,123,283.0,294.0,2053.0,206.0,1254.0,782.0,180.0,342.0,949.0,420.0,236.0,72.0,92.0,47.0,154.0,90.0,65.0,32.0,BlackASA,BlackASA
e,Dec,124,339.04,638.88,1920.43,181.76,979.69,554.52,103.26,188.93,1311.15,200.56,243.51,33.39,82.04,42.11,154.92,110.21,40.86,30.84,BlackASA,BlackASA
e,Dec,125,287.0,295.0,2051.0,207.0,1255.0,781.0,180.0,342.0,1087.0,420.0,236.0,72.0,101.0,51.0,171.0,98.0,64.0,33.0,BlackASA,BlackASA
e,Dec,126,356.28,640.82,1920.43,185.27,979.69,565.17,104.41,191.69,1153.14,201.04,239.38,33.85,73.92,42.94,179.38,107.96,41.5,29.9,BlackASA,BlackASA
e,Dec,127,279.0,299.0,2051.0,211.0,1255.0,796.0,182.0,347.0,956.0,421.0,232.0,73.0,91.0,52.0,198.0,96.0,65.0,32.0,BlackASA,BlackASA
e,Dec,128,357.92,641.8,1921.37,187.03,982.04,570.85,105.55,193.9,1258.08,200.56,227.0,34.32,77.98,42.11,142.24,100.09,41.5,30.84,BlackASA,BlackASA
e,Dec,129,286.0,302.0,2052.0,213.0,1258.0,804.0,184.0,351.0,1043.0,420.0,220.0,74.0,96.0,51.0,157.0,89.0,65.0,33.0,BlackASA,BlackASA
e,Dec,130,307.84,638.88,1923.24,187.91,982.82,572.98,106.7,195.56,1189.32,201.99,230.09,34.32,77.17,38.81,135.89,101.21,41.5,30.84,BlackASA,BlackASA
e,Dec,131,235.0,300.0,2054.0,214.0,1259.0,807.0,186.0,354.0,986.0,423.0,223.0,74.0,95.0,47.0,150.0,90.0,65.0,33.0,BlackASA,BlackASA
e,Dec,132,133.81,622.38,1934.48,201.96,990.62,612.03,101.54,190.03,419.76,185.76,136.2,35.71,51.99,32.21,87.88,151.82,40.86,31.77,BlackASA,BlackASA
e,Dec,133,105.0,306.0,2066.0,230.0,1269.0,862.0,177.0,344.0,348.0,389.0,132.0,77.0,64.0,39.0,97.0,135.0,64.0,34.0,BlackASA,BlackASA
e,Dec,134,210.15,632.09,1929.79,200.2,985.16,610.61,108.42,201.08,733.38,199.6,183.66,36.17,80.42,36.33,104.19,139.45,41.5,31.77,BlackASA,BlackASA
e,Dec,135,136.0,311.0,2061.0,228.0,1262.0,860.0,189.0,364.0,608.0,418.0,178.0,78.0,99.0,44.0,115.0,124.0,65.0,34.0,BlackASA,BlackASA
e,Dec,136,244.63,635.97,1930.73,188.79,986.72,575.82,102.68,190.58,1214.65,200.56,215.65,34.32,89.36,43.77,132.27,119.2,41.5,30.84,BlackASA,BlackASA
e,Dec,137,172.0,297.0,2062.0,215.0,1264.0,811.0,179.0,345.0,1007.0,420.0,209.0,74.0,110.0,53.0,146.0,106.0,65.0,33.0,BlackASA,BlackASA
e,Dec,138,318.52,642.77,1930.73,189.66,984.38,576.53,107.27,196.66,1325.63,202.95,233.19,34.32,82.86,40.46,140.42,106.83,41.5,30.84,BlackASA,BlackASA
e,Dec,139,239.0,303.0,2062.0,216.0,1261.0,812.0,187.0,356.0,1099.0,425.0,226.0,74.0,102.0,49.0,155.0,95.0,65.0,33.0,BlackASA,BlackASA
e,Dec,140,164.18,628.2,1946.65,202.84,996.09,614.87,98.1,185.06,451.12,158.06,156.83,35.71,48.74,33.03,90.6,149.57,39.59,31.77,BlackASA,BlackASA
e,Dec,141,117.0,309.0,2079.0,231.0,1276.0,866.0,171.0,335.0,374.0,331.0,152.0,77.0,60.0,40.0,100.0,133.0,62.0,34.0,BlackASA,BlackASA
e,Dec,142,162.54,629.17,1941.97,187.91,991.4,573.69,104.41,193.9,1097.65,192.44,146.52,34.32,72.3,39.64,91.5,93.34,40.86,30.84,BlackASA,BlackASA
e,Dec,143,278.0,304.0,2074.0,214.0,1270.0,808.0,182.0,351.0,910.0,403.0,142.0,74.0,89.0,48.0,101.0,83.0,64.0,33.0,BlackASA,BlackASA
